"filename", "language", "C++", "Python", "JSON", "Markdown", "XML", "Log", "C", "comment", "blank", "total"
"c:\Users\11146\OneDrive\ACM\Check\dp.cpp", "C++", 22, 0, 0, 0, 0, 0, 0, 6, 2, 30
"c:\Users\11146\OneDrive\ACM\Check\gen.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 1, 3, 58
"c:\Users\11146\OneDrive\ACM\Contest_Old\2021天梯赛\L1-2 邪恶TXT (5 分).cpp", "C++", 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\11146\OneDrive\ACM\Contest_Old\2021天梯赛\L1-4 勋总的课1 (15 分).cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 5, 5, 58
"c:\Users\11146\OneDrive\ACM\Contest_Old\2021天梯赛\L1-5 谁是龙王 (15 分).cpp", "C++", 36, 0, 0, 0, 0, 0, 0, 5, 4, 45
"c:\Users\11146\OneDrive\ACM\Contest_Old\2021天梯赛\L1-6 背靠背 (15 分).cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\11146\OneDrive\ACM\Contest_Old\2021天梯赛\L1-7 暴风雨前的宁静 (15 分).cpp", "C++", 34, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\11146\OneDrive\ACM\Contest_Old\2021天梯赛\L1-8 Nobody knows code better than me (2.cpp", "C++", 39, 0, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\11146\OneDrive\ACM\Contest_Old\2021天梯赛\L2-1 勋总的课2 (20 分).cpp", "C++", 135, 0, 0, 0, 0, 0, 0, 0, 4, 139
"c:\Users\11146\OneDrive\ACM\Contest_Old\2021天梯赛\L2-2 从零开始的良心出题人招募 (25 分).cpp", "C++", 39, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\11146\OneDrive\ACM\Contest_Old\2021天梯赛\L2-3 SICP熵 (20 分).cpp", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 4, 40
"c:\Users\11146\OneDrive\ACM\Contest_Old\2021天梯赛\L2-4 廉讯公司 (25 分).cpp", "C++", 114, 0, 0, 0, 0, 0, 0, 1, 7, 122
"c:\Users\11146\OneDrive\ACM\Contest_Old\2021天梯赛\L3-1 LFU (30 分).cpp", "C++", 82, 0, 0, 0, 0, 0, 0, 0, 5, 87
"c:\Users\11146\OneDrive\ACM\Contest_Old\2021天梯赛\L3-2 汤氏集团 (30 分).cpp", "C++", 31, 0, 0, 0, 0, 0, 0, 0, 4, 35
